SAITE,klase,tēma,nodarbība,aktivitāte,Nosaukums,Apraksts,Resursa veids,Video ilgums ,Resursa avots,SKOLA2030 VĒRTĪBAS,SKOLA2030 tikumi,e-TAP vērtības,e-TAP tikumi,citi komentāri
https://www.viaa.gov.lv/lv/media/2549/download,2. klase,Karjera,"2. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,Vienlīdzīgas karjeras iespējas sievietēm un vīriešiem  ,"Infografika skolēnu informēšanai par viņu tiesībām un iespējām izvēlēties izglītības iestādi vai darbu neatkarīgi no dzimuma, kā arī diskusijas veicināšanai par vienlīdzīgām karjeras iespējām.",infografika;,3,www.niid.lv,brīvība; darbs ,centība; gudrība ,atbildība ,pašiniciatīva; pārliecinātība; atvērtība jaunajam; kritiskā spriestspēja; pašiedziļināšanās ,karjera
https://ir.lv/2019/03/08/sievietes-un-viriesi-biznesa-ir-vienlidzigi/,2. klase,Karjera,"2. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,Sievietes un vīrieši biznesā ir vienlīdzīgi ,"Biznesa augstskolas Turība absolvente Ilze Kikste-Vaivara, kura vada viesnīcu Boutique Hotel & Restaurant MaMa. Viņa uzsver, ka biznesā veiksmi izšķir nevis dzimums, bet gadu gaitā uzkrātā pieredze un mīlestība pret to, ko dari",Raksts;,5,IR,cieņa; darbs; Latvijas valsts ,atbildība; centība; drosme ,atbildība; harmonija ,pašiniciatīva; pārliecinātība; neatlaidība (noturība); apņēmīgums; pašiedziļināšanās ,
https://forbesbaltics.com/lv/top-50-veiksmigakas-biznesa-sievietes,2. klase,Karjera,"2. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,"Forbes -  ""top 50 veiksmīgākas biznesa sievietes"" (2019)","Forbes veiksmīgāko biznesa sieviešu saraksts - reitingā iekļauts pussimts uzņēmēju un kompāniju vadītāju. Veidojot reitingu, tika ņemti vērā uzņēmumu rādītāji, kas publicēti Lursoft datubāzē. Tika vērtēts uzņēmumu apgrozījums, tā pieaugums, peļņa un eksporta apjoms.",Raksts;,5,Forbes,darbs ,atbildība; centība ,atbildība ,pārliecinātība; čaklums; neatlaidība (noturība); apņēmīgums ,
https://www.parprof.lv/,2. klase,Karjera,"2. nodarbība: Vai ir tādi darbi, kas paredzēti zēniem vai meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,"TV ziņas - sižets ""Spēj viņa = spēj viņš""",2. aktivitāte. Vienādojums ar nezināmajiem,"Tiešsaistes spēle - cits
;",15,VIAA,darbs ,līdzcietība; atbildība; gudrība ,atbildība; cieņa ,pašiniciatīva; atvērtība jaunajam; apņēmīgums; zinātkāre ,
https://www.viaa.gov.lv/lv/ilustrativie-materiali,2. klase,Karjera,3. nodarbība: Kādu darbu es varētu strādāt?,,"Ilustratīvie materiāli, infografikas karjeras atbalstam",,"Attēls / plakāts
;",5,VIAA,darbs ,atbildība; gudrība ,atbildība ,pārliecinātība; zinātkāre; kritiskā spriestspēja; pašiedziļināšanās ,
https://www.profesijupasaule.lv/,2. klase,Karjera,3. nodarbība: Kādu darbu es varētu strādāt?,,"Mājas lapa ""Profesiju pasaule"" ",,"Mājas lapa
;",5,VIAA,darbs ,atbildība ,atbildība ,atvērtība jaunajam; zinātkāre; kritiskā spriestspēja; pašiedziļināšanās ,
https://youtu.be/e2HAIsYggaM,2. klase,Kiberterorizēšana,2. nodarbība - Kā kiberterorizēšana mūs ietekmē?,noslēguma apspriede: kur saņemt palīdzību,"“Kad saukt palīgā pieaugušo, kam uzticies?” ","“Kad saukt palīgā pieaugušo, kam uzticies?” - ""Supervaroņi internetā"" ir sociālā kampaņa, kuras mērķis ir veicināt bērnu medijpratību un drošību internetā, informējot gan bērnus, gan pieaugušos par riskiem un iespējām interneta vidē. Kampaņas laikā ir izveidoti pieci video, kas 5–8 gadus veciem bērniem māca izprast dažādas situācijas, ar kurām viņi varētu saskarties internetā, un aicina bērnus kļūt par pārliecinātiem un gudriem interneta lietotājiem",Video - multiplikācijas īsfilma;,1,Valsts Policija,dzīvība (veselība); cieņa ,atbildība; gudrība; drosme ,cieņa; patiesība; miers; drošība ,pārliecinātība; kritiskā spriestspēja ,
https://drossinternets.lv/lv/info/uzticibas-talrunis,2. klase,Kiberterorizēšana,2. nodarbība - Kā kiberterorizēšana mūs ietekmē?,noslēguma apspriede: kur saņemt palīdzību,Uzticības tālruņa 116111 mājas lapa ,"mājas lapa ar uzticība tālruni un saite - Uzticības tālrunis (116111), ko nodrošina  Valsts bērnu tiesību aizsardzības inspekcija. Atrunāts kādos gadījumos zvanīt 116111: ""Izmantojot internetu"", ""ģimenē"", ""skolā"", ""Tu pats""","Mājas lapa
;",3,drossinternets.lv,dzīvība (veselība); cieņa ,atbildība; gudrība; drosme ,uzticība; cieņa; rūpes; atbildība; miers ,izpalīdzība; atklātība ,
https://www.lia.lv/lv/info/drosaka-interneta-centrs,2. klase,Kiberterorizēšana,2. nodarbība - Kā kiberterorizēšana mūs ietekmē?,noslēguma apspriede: kur saņemt palīdzību,Drošāka interneta centra mājas lapa,"Informācija par Latvijas Drošāka interneta centru un to darbības virzieniem:  IZGLĪTOŠANAS DARBS (drossinternets.lv), ZIŅOJUMU LĪNIJA (par atklātajiem pārkāpumiem un nelegālu saturu internetā) un UZTICĪBAS TĀLRUNIS (nodrošina Valsts bērnu tiesību aizsardzības inspekcija)","Mājas lapa
;",4,Latvijas interneta asociācija,cieņa ,taisnīgums; atbildība; gudrība ,drošība; cieņa; rūpes; atbildība; miers ,izpalīdzība; kritiskā spriestspēja ,
https://www.youtube.com/watch?v=oVscx9BD2gc ,2. klase,Kiberterorizēšana,2. nodarbība - Kā kiberterorizēšana mūs ietekmē?,noslēguma apspriede: kur saņemt palīdzību,Drossinternets.lv - Kas mēs esam?,Drošāka interneta centra tīmekļa vietne - īss reklāmas video par pieejamiem resursiem tajā vietnē,"Video - multiplikācijas īsfilma
;",1,Drossinternets.lv,cieņa; Latvijas valsts ,atbildība; gudrība; drosme ,drošība; rūpes; atbildība; miers ,izpalīdzība; pašiniciatīva; kritiskā spriestspēja; līdzdalīgums ,
https://www.youtube.com/watch?v=rWDACNsvuKI,2. klase,Kiberterorizēšana,2. nodarbība: Kā kiberterorizēšana mūs ietekmē?,Ierosme. Kiberterorizēšana ,"Mācību filma skolēniem ""Roberts"" ņirgāšanās profilaksei interneta vidē (2016)",Ierosme. Kiberterorizēšana ,"Video - dokumentāla filma
;",23,SPKC,cieņa; kultūra ,tolerance; līdzcietība; laipnība; atbildība; gudrība ,cilvēks kā persona; cieņa; mīlestība; miers; saskaņa ,līdzjūtība; empātija; kritiskā spriestspēja; draudzīgums ,
https://youtu.be/e2HAIsYggaM,2. klase,Kiberterorizēšana,2. nodarbība: Kā kiberterorizēšana mūs ietekmē?,Papildus uzziņai,"īsfilma ""Kad saukt palīgā pieaugušo, kam uzticies?""",Papildus uzziņai,"Video - multiplikācijas īsfilma
;",1, Valsts policija,kultūra; Latvijas valsts ,taisnīgums; gudrība; drosme ,cieņa; miers ,pašiniciatīva; pārliecinātība; kritiskā spriestspēja; atklātība ,
https://www.youtube.com/watch?v=-fkKrIvF1SE,3. klase,Brīvprātīgais darbs,1. nodarbība: Kāpēc cilvēki veic brīvprātīgo darbu?,2. aktivitāte. Brīvprātīgo darbinieku stāsti ,Brīvprātīgais darbs - Dzīvo un strādā labi Pīterboro un Fenlandē,2. aktivitāte. Brīvprātīgo darbinieku stāsti ,"Video - multiplikācijas īsfilma
;",6, Peterborough City Council ,cieņa; Latvijas valsts ,taisnīgums; solidaritāte; atbildība ,cilvēks kā persona; mīlestība; atbildība; saskaņa ,izpalīdzība; dāsnums; pašiniciatīva; līdzdalīgums; spēja sadarboties ,
https://open-mind.lv/popularakas-labdaribas-organizacijas-latvija/,3. klase,Brīvprātīgais darbs,1. nodarbība: Kāpēc cilvēki veic brīvprātīgo darbu?,Ierosme. Labdarības organizāciju logotipi ,Populārākās labdarības organizācijas Latvijā,Ierosme. Labdarības organizāciju logotipi ,Raksts;,5,open-mind.lv,cieņa; Latvijas valsts; kultūra ,taisnīgums; solidaritāte; atbildība ,cilvēks kā persona; mīlestība; saskaņa ,izpalīdzība; līdzjūtība; empātija; dāsnums; pašiniciatīva; apņēmīgums; līdzdalīgums; spēja sadarboties ,
https://www.labdaribasfaktors.lv/top-5-labdaribas-organizacijas-pasaule/,3. klase,Brīvprātīgais darbs,1. nodarbība: Kāpēc cilvēki veic brīvprātīgo darbu?,Ierosme. Labdarības organizāciju logotipi , Top 5 labdarības organizācijas pasaulē,Ierosme. Labdarības organizāciju logotipi ,"Mājas lapa
;",5,Labdarības faktors,cieņa; Latvijas valsts ,taisnīgums; līdzcietība; solidaritāte; laipnība ,cilvēks kā persona; rūpes; mīlestība; atbildība; saskaņa ,izpalīdzība; dāsnums; līdzdalīgums; spēja sadarboties ,
https://www.youtube.com/watch?v=vcEf1FXbl6c,3. klase,Brīvprātīgais darbs,2. nodarbība: Kā kļūt par brīvprātīgo?,1. aktivitāte. Darbs dzīvnieku patversmēs ,Kā norit brīvprātīgais darbs dzīvnieku patversmē?,1. aktivitāte. Darbs dzīvnieku patversmēs ,"Video - dokumentāla filma
;",2, Dautkom latviski ,daba; Latvijas valsts ,līdzcietība; laipnība; atbildība ,rūpes; atbildība; saskaņa ,izpalīdzība; līdzjūtība; empātija; dāsnums; līdzdalīgums; spēja sadarboties ,
https://www.spkc.gov.lv/lv/aktiva-ik-diena,3. klase,Fiziskās aktivitātes,1. nodarbība: Kāpēc ir jāsporto?,2. aktivitāte. Dažādi fizisko aktivitāšu veidi ,Sabiedrības informēšanas kampaņu „Aktīva ik diena!”,2. aktivitāte. Dažādi fizisko aktivitāšu veidi ,"Mājas lapa
;",10,"SPKC, Veselības ministrija",dzīvība (veselība) ,centība; atbildība ,brīvība; atbildība; daba; harmonija ,pašiniciatīva; neatlaidība (noturība); pašvadība ,
https://medicine.lv/raksti/fizisko-aktivitasu-nozime-bernu-un-jauniesu-ikdiena,3. klase,Fiziskās aktivitātes,1. nodarbība: Kāpēc ir jāsporto?,2. aktivitāte. Dažādi fizisko aktivitāšu veidi ,Fizisko aktivitāšu nozīme bērnu un jauniešu ikdienā,2. aktivitāte. Dažādi fizisko aktivitāšu veidi ,Raksts;,3,medicine.lv,dzīvība (veselība) ,atbildība; gudrība ,rūpes; atbildība; patiesība; harmonija ,pašiniciatīva; čaklums; apņēmīgums; pašvadība ,
http://tests.dreamfoundation.eu/career-test/page3,3. klase,Karjera,"3. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",noslēguma apspriede: karjeras tests,Karjeras tests - dream! foundation (latviski),"Karjeras tests sevis iepazīšanai. Pirmā daļa par rakstura iezīmēm, otrā - par aktivitātēm, kas patīk, trešā - par profesijām, kas patiktu.",karjeras tests;,15,dream foundation,darbs ,gudrība ,atbildība ,atvērtība jaunajam; pašiedziļināšanās ,testa beigās lūdz ievadīt e-pastu
https://www.jw.org/lv/b%C4%ABbeles-m%C4%81c%C4%ABbas/jaunie%C5%A1iem/anim%C4%81cija-video/nepadodies-vienaud%C5%BEu-spiedienam/,3. klase,Vienaudžu spiediens,1. nodarbība: Kas ir vienaudžu izdarītais spiediens?,,Animācijas filma “Nepadodies vienaudžu spiedienam!”,,"Video - multiplikācijas īsfilma
;",4,jw.org,brīvība; cieņa ,taisnīgums; godīgums; gudrība; drosme ,cilvēks kā persona; cieņa; atbildība; miers; saskaņa ,pārliecinātība; apņēmīgums; kritiskā spriestspēja; pašvadība ,
https://spoki.lv/testi/Vai-spej-atskirt-viltus-zinas-no/877575,3. klase,Viltus ziņas,1. nodarbība: Kas ir viltus ziņas?,1. aktivitāte. Viltus ziņu atpazīšana ,Vai spēj atšķirt viltus ziņas no patiesām ziņām? Izpildi testu un pārbaudi sevi!,1. aktivitāte. Viltus ziņu atpazīšana ,Tiešsaistes spēle - Viktorīna;,5,spoki.lv,brīvība; kultūra ,godīgums; gudrība ,cieņa; patiesība ,pārliecinātība; zinātkāre; kritiskā spriestspēja ,
https://rebaltica.lv/recheck/,3. klase,Viltus ziņas,1. nodarbība: Kas ir viltus ziņas?,1. aktivitāte. Viltus ziņu atpazīšana ,"faktu pārbaudes mājas lapa ""Re:check""",1. aktivitāte. Viltus ziņu atpazīšana ,"Mājas lapa
;",10,Re:Baltica,brīvība; kultūra; Latvijas valsts ,atbildība; godīgums; gudrība ,cieņa; atbildība; patiesība ,pārliecinātība; kritiskā spriestspēja; zinātkāre ,
https://www.youtube.com/watch?v=LOriHFVxKuI,3. klase,Viltus ziņas,1. nodarbība: Kas ir viltus ziņas?,Kopīgā noslēguma apspriede. Vai tas tiešām nav patiess? ,video “Baltimeli – viltus ziņas,Kopīgā noslēguma apspriede. Vai tas tiešām nav patiess? ,"Video - dokumentāla filma
;",3, Goethe-Institut Rīgā ,brīvība; kultūra ,atbildība; gudrība ,cieņa; atbildība; patiesība ,zinātkāre; kritiskā spriestspēja; attapība ,
https://www.dzirkstele.lv/vietejas-zinas/viltus-zinu-veidi-ko-par-tiem-zinam-164708,3. klase,Viltus ziņas,1. nodarbība: Kas ir viltus ziņas?,, Viltus ziņu veidi: ko par tiem zinām?,,Raksts;,5,dzirkstele.lv,cieņa ,godīgums; gudrība ,cieņa; atbildība; patiesība ,zinātkāre; kritiskā spriestspēja; attapība ,
https://www.lsm.lv/smadzenu-skalotava,3. klase,Viltus ziņas,2. nodarbība: Kas padara žurnālistu tikumīgu?,2. aktivitāte. Būt par žurnālistu ,"Spēle ""Smadzeņu skalotavas"" ",2. aktivitāte. Būt par žurnālistu ,"Tiešsaistes spēle - cits
;",12,lsm.lv,cieņa; Latvijas valsts; kultūra ,taisnīgums; godīgums; gudrība ,cieņa; patiesība; atbildība ,zinātkāre; kritiskā spriestspēja; attapība ,
https://drossinternets.lv/lv/materials/listall/berniem,4. klase,Attiecības tiešsaistē,3. nodarbība: Veselīga draudzība tiešsaistē,Ierosme. Saglabāt drošību tiešsaistē ,drossinternets.lv materiāli,Ierosme. Saglabāt drošību tiešsaistē ,"Mājas lapa
;",10,drossinternets.lv,dzīvība (veselība); cieņa ,atbildība; gudrība; mērenība ,cieņa; atbildība; brīvība; harmonija ,pārliecinātība; kritiskā spriestspēja; pašvadība ,
https://jaunatne.gov.lv/iespejas-jauniesiem/,4. klase,Demokrātija,1. nodarbība: Piedalīšanās demokrātijas veidošanā,Ierosme. Piedalīšanās ,"""Iespējas jauniešiem""",Ierosme. Piedalīšanās ,"Mājas lapa
;",5,Jaunatnes starptautisko programmu aģentūra,Latvijas valsts; kultūra ,solidaritāte; atbildība; drosme ,cilvēks kā persona; atbildība; saskaņa ,pašiniciatīva; līdzdalīgums; spēja sadarboties ,
https://www.youtube.com/watch?v=4R5D25D3AFI,4. klase,Konfliktu risināšana,"2. nodarbība: Situācijas, kurās abas puses ir ieguvējas",Ierosme. Konfliktu risināšanas pieredzi ,Konfliktu risināšanas pieredze,Ierosme. Konfliktu risināšanas pieredzi ,"Video - intervija, saruna
;",5, LU kanāls - atbalstslulv ,cieņa; kultūra ,līdzcietība; laipnība; gudrība; mērenība; savaldība ,cieņa; rūpes; harmonija; saskaņa ,līdzjūtība; empātija; kritiskā spriestspēja; pašvadība; draudzīgums ,
https://www.youtube.com/watch?v=6OW32j66ht0,4. klase,Konfliktu risināšana,3. nodarbība: Mediatori,1. aktivitāte. Mediatori ,Par prasmi risināt konfliktus: mediatore un komunikācijas trenere Ilze Dzenovska,1. aktivitāte. Mediatori ,"Video - intervija, saruna
;",90,CILVĒKJAUDA,cieņa; kultūra; Latvijas valsts ,tolerance; laipnība; godīgums; savaldība ,cilvēks kā persona; cieņa; patiesība; harmonija; saskaņa ,empātija; atvērtība jaunajam; pazemība; pašiedziļināšanās; pašvadība; draudzīgums ,
http://www.mediacija.lv/?Projekti:%22Vienaud%C5%BEu_medi%C4%81cija_%26ndash%3B_ce%C4%BC%C5%A1_uz_sadarb%C4%ABbu%21%22,4. klase,Konfliktu risināšana,3. nodarbība: Mediatori,1. aktivitāte. Mediatori ,"""Vienaudžu mediācija – ceļš uz sadarbību!""",1. aktivitāte. Mediatori ,Raksts;,4,mediacija.lv,cieņa; kultūra ,tolerance; laipnība; godīgums; savaldība ,cilvēks kā persona; cieņa; patiesība; harmonija; saskaņa ,empātija; atvērtība jaunajam; pašiedziļināšanās; pašvadība; draudzīgums ,
https://www.youtube.com/watch?v=2j65V5AeCdo,4. klase,Stress,1. nodarbība: Kas ir stress?,1. aktivitāte. Kas tev rada stresu? ,"""Par ko streso Latvijas bērni""",1. aktivitāte. Kas tev rada stresu? ,"Video - intervija, saruna
;",4, Lauris Reiniks ,dzīvība (veselība) ,laipnība; gudrība; mērenība ,cilvēks kā persona; rūpes; harmonija; miers ,līdzjūtība; pazemība; pašiedziļināšanās; pašvadība ,
https://www.youtube.com/watch?v=g75BTjHEKMQ,4. klase,Stress,2. nodarbība: Stresa pārvarēšana,2. aktivitāte. Kur es varu saņemt palīdzību? ,"""Ko darīt, ja ir panikas lēkmes?""",2. aktivitāte. Kur es varu saņemt palīdzību? ,"Video - dokumentāla filma
;",3, Medicīnas Kanāls ,dzīvība (veselība) ,līdzcietība; laipnība; gudrība; savaldība ,cilvēks kā persona; rūpes; harmonija; miers ,līdzjūtība; neatlaidība (noturība); pašiedziļināšanās; pašvadība ,
https://www.youtube.com/watch?v=Nu4_EGntg90,4. klase,Stress,"3. nodarbība: Atbalsts cilvēkiem, kas izjūt stresu",Ierosme. Slavenības atklājas ,Influenceri personiskos stāstos dalās sāpīgā pieredzē - Patrisha,Ierosme. Slavenības atklājas ,"Video - intervija, saruna
;",5,Valsts bērnu tiesību aizsardzības inspekcija,dzīvība (veselība); cieņa ,līdzcietība; laipnība; atbildība; savaldība ,cilvēks kā persona; rūpes; harmonija; miers ,līdzjūtība; empātija; pārliecinātība; pašiedziļināšanās; draudzīgums ,
https://beactivelatvia.lv/jaunumi/,5. klase,Fiziskās aktivitātes,2. nodarbība: Mans fizisko aktivitāšu plāns,2. aktivitāte. Plāna izstrāde ,#beactive - jaunumi,2. aktivitāte. Plāna izstrāde ,"Mājas lapa
;",5,Latvijas sporta federācijas padome,dzīvība (veselība); Latvijas valsts ,centība; drosme; mērenība ,cilvēks kā persona; harmonija; miers ,pašiniciatīva; čaklums; apņēmīgums; pašvadība ,
https://www.youtube.com/watch?v=Cjh10ddUu98,5. klase,Kopienas,"2. nodarbība: Kopiena, daudzveidība un dažādība","4. aktivitāte. “Nenovērsies, atbalsti!” ","""Nenovērsies, atbalsti!""","4. aktivitāte. “Nenovērsies, atbalsti!” ","Video - dokumentāla filma
;",12,"Dauna sindromu atbalsta asociācija ""Žmonių su Dauno sindromu ir jų globėjų""",dzīvība (veselība); cieņa; ģimene ,tolerance; līdzcietība; solidaritāte; laipnība ,cilvēks kā persona; cieņa; mīlestība; atbildība; saskaņa ,izpalīdzība; līdzjūtība; empātija; atvērtība jaunajam; draudzīgums; līdzdalīgums ,
https://www.youtube.com/watch?v=a426FaOsVvM,5. klase,Kopienas,"2. nodarbība: Kopiena, daudzveidība un dažādība",5. aktivitāte. Cilvēki-morālās autoritātes ,Himnas stāsts. Lidija Lasmane-Doroņina,5. aktivitāte. Cilvēki-morālās autoritātes ,"Video - intervija, saruna
;",6, Rakstniecības un mūzikas muzejs ,Latvijas valsts; latviešu valoda; kultūra; brīvība ,taisnīgums; atbildība; drosme ,cieņa; brīvība; atbildība; saskaņa; patiesība ,pašiniciatīva; pārliecinātība; neatlaidība (noturība); pazemība; atklātība ,
https://www.la.lv/95-gadu-vecuma-miris-nelsons-mandela,5. klase,Kopienas,"2. nodarbība: Kopiena, daudzveidība un dažādība",Alternatīva 4. aktivitātei: Cilvēks-morāla autoritāte ,95 gadu vecumā miris Nelsons Mandela,Alternatīva 4. aktivitātei: Cilvēks-morāla autoritāte ,Raksts;,4,la.lv,brīvība; cieņa; kultūra ,taisnīgums; tolerance; solidaritāte; drosme ,cilvēks kā persona; cieņa; mīlestība; brīvība; saskaņa ,izpalīdzība; pašiniciatīva; pārliecinātība; neatlaidība (noturība); apņēmīgums ,
